iter	Passed	Remaining
843	1577	291
844	1579	289
845	1580	287
846	1582	285
847	1583	283
848	1584	281
849	1585	279
850	1587	277
851	1588	275
852	1589	273
853	1590	271
854	1592	270
855	1593	268
856	1595	266
857	1597	264
858	1599	262
859	1602	260
860	1604	258
861	1606	257
862	1608	255
863	1610	253
864	1613	251
865	1615	249
866	1617	248
867	1619	246
868	1621	244
869	1623	242
870	1625	240
871	1627	238
872	1629	237
873	1632	235
874	1634	233
875	1636	231
876	1641	230
877	1643	228
878	1645	226
879	1647	224
880	1650	222
881	1652	221
882	1654	219
883	1656	217
884	1658	215
885	1660	213
886	1662	211
887	1664	209
888	1666	208
889	1668	206
890	1670	204
891	1673	202
892	1674	200
893	1675	198
894	1676	196
895	1678	194
896	1679	192
897	1681	191
898	1682	189
899	1684	187
900	1685	185
901	1687	183
902	1688	181
903	1689	179
904	1691	177
905	1692	175
906	1693	173
907	1695	171
908	1696	169
909	1697	167
910	1699	165
911	1700	164
912	1702	162
913	1705	160
914	1708	158
915	1710	156
916	1713	155
917	1715	153
918	1717	151
919	1719	149
920	1722	147
921	1723	145
922	1730	144
923	1735	142
924	1739	141
925	1741	139
926	1745	137
927	1748	135
928	1750	133
929	1752	131
930	1754	130
931	1756	128
932	1758	126
933	1761	124
934	1762	122
935	1765	120
936	1767	118
937	1769	116
938	1771	115
939	1773	113
940	1775	111
941	1777	109
942	1779	107
943	1781	105
944	1782	103
945	1784	101
946	1785	99
947	1787	98
948	1788	96
949	1790	94
950	1791	92
951	1793	90
952	1794	88
953	1795	86
954	1797	84
955	1798	82
956	1799	80
957	1801	78
958	1802	77
959	1804	75
960	1805	73
961	1807	71
962	1808	69
963	1809	67
964	1811	65
965	1812	63
966	1813	61
967	1814	59
968	1816	58
969	1817	56
970	1819	54
971	1820	52
972	1821	50
973	1823	48
974	1824	46
975	1826	44
976	1828	43
977	1829	41
978	1831	39
979	1833	37
980	1834	35
981	1836	33
982	1837	31
983	1839	29
984	1840	28
985	1841	26
986	1843	24
987	1844	22
988	1845	20
989	1847	18
990	1848	16
991	1849	14
992	1851	13
993	1852	11
994	1854	9
995	1855	7
996	1856	5
997	1858	3
998	1859	1
999	1860	0
